@Run_acc	total_spots	total_bases	bool:paired	#tabulator separated
ERR1328564	75912627	15041721263	0	
ERR1328563	88959042	17616693616	0	
DRR030358	20853417	750723012	0	
DRR030357	25656929	923649444	0	
DRR030356	19624015	706464540	0	
DRR030355	26873693	967452948	0	
DRR030354	42063193	1514274948	0	
DRR030353	28895416	1040234976	0	
DRR030352	29795975	1072655100	0	
DRR030351	19656535	707635260	0	
DRR030350	28614175	1030110300	0	
DRR030349	25940429	933855444	0	
DRR030348	20323007	731628252	0	
DRR030347	21381554	769735944	0	
DRR030346	34922589	1257213204	0	
DRR030345	21696695	781081020	0	
DRR030344	30909210	1112731560	0	
DRR030343	32993148	1187753328	0	
DRR030342	21437513	771750468	0	
DRR030341	29762462	1071448632	0	
DRR030340	23520612	846742032	0	
DRR030339	35122501	1264410036	0	
DRR030338	26118296	940258656	0	
DRR030337	25242688	908736768	0	
DRR030336	23617892	850244112	0	
DRR030335	22456157	808421652	0	
DRR029961	22367238	805220568	0	
DRR029960	16115603	580161708	0	
DRR029959	19731451	710332236	0	
DRR029958	15177739	546398604	0	
DRR029957	18373922	661461192	0	
DRR029956	21099720	759589920	0	
DRR029955	15594692	561408912	0	
DRR029954	21657464	779668704	0	
DRR029953	33707602	1213473672	0	
DRR029952	34390332	1238051952	0	
DRR029951	30079094	1082847384	0	
DRR029950	34137915	1228964940	0	
SRR5278103	17428278	4996041946	0	
SRR5251041	2182591	329571241	0	
SRR5251040	784813	118506763	0	
SRR5251039	2864116	432481516	0	
SRR5251038	2565088	387328288	0	
SRR5251037	2253895	340338145	0	
SRR5251036	2352557	355236107	0	
SRR5234256	23558717	1177935850	0	
SRR5234255	37872797	1893639850	0	
SRR5234254	33332060	1666603000	0	
SRR5234253	32444155	1622207750	0	
SRR5234252	28533821	1426691050	0	
SRR5234251	23915545	1195777250	0	
SRR5234250	15630090	797134590	0	
SRR5234249	17158942	875106042	0	
SRR5234248	21322745	1087459995	0	
SRR5234247	18073092	921727692	0	
SRR5234246	18595553	948373203	0	
SRR5234245	15198232	775109832	0	
SRR5234244	67665979	3450964929	0	
SRR5234243	55094526	2809820826	0	
SRR5234242	59363155	3027520905	0	
SRR5234241	42101460	2147174460	0	
SRR5234240	46462702	2369597802	0	
SRR5234239	42806093	2183110743	0	
SRR5234238	38207418	1910370900	0	
SRR5234237	40113328	2005666400	0	
SRR5234236	27083112	1354155600	0	
SRR5234235	33182908	1659145400	0	
SRR5234234	29465286	1473264300	0	
SRR5234233	27429137	1371456850	0	
SRR5234232	40256205	2012810250	0	
SRR5234231	40495312	2024765600	0	
SRR5234230	42294762	2114738100	0	
SRR5234229	30641968	1532098400	0	
SRR5234228	33164553	1658227650	0	
SRR5234227	29596730	1479836500	0	
SRR5232052	53756361	13546602972	0	
SRR5232051	46842643	11804346036	0	
SRR5232050	53670986	13525088472	0	
SRR5232049	44580338	11234245176	0	
SRR5232048	51853737	13067141724	0	
SRR5232047	46660898	11758546296	0	
SRR5223195	20980592	1153581648	0	
SRR5223194	17140439	940935278	0	
SRR5223193	22189736	1214951624	0	
SRR5223192	16110631	885722958	0	
SRR5223191	17037360	934332880	0	
SRR5223190	22771698	1249607884	0	
SRR5221633	85735654	17318602108	0	
SRR5221632	66998251	13533646702	0	
SRR5221631	84928778	17155613156	0	
SRR5218022	15702376	1570237600	0	
SRR5218020	8551175	855117500	0	
SRR5218018	23531811	2353181100	0	
SRR5218016	20250496	2025049600	0	
SRR5218014	15895368	1589536800	0	
SRR5218012	17760120	1776012000	0	
SRR5218010	14005146	1400514600	0	
SRR5218008	21013056	2101305600	0	
DRR079288	37268063	7453612600	1	
DRR079287	36426860	7285372000	1	
